Formation,Commentaire,Commentaire_anglais
Réseaux & Systèmes,"Excellente formation, très claire et bien expliquée.","Excellent training, very clear and well explained."
Business Intelligence,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Finance,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Cloud Computing,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Data Science,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Réseaux & Systèmes,Pas assez de retours sur les exercices proposés.,Not enough feedback on the exercises offered.
Développement Web,La formation m’a aidé à décrocher un emploi.,The training helped me get a job.
Cloud Computing,Manque d'interaction avec les intervenants.,Lack of interaction with the speakers.
Cloud Computing,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Business Intelligence,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Cybersécurité,Expérience enrichissante et formatrice.,Enriching and trainer experience.
IA & Machine Learning,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Finance,Pas assez de retours sur les exercices proposés.,Not enough feedback on the exercises offered.
Cybersécurité,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
Cybersécurité,Expérience enrichissante et formatrice.,Enriching and trainer experience.
Data Science,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Cloud Computing,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Business Intelligence,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Cybersécurité,Les sujets traités sont très actuels.,The subjects treated are very current.
Finance,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Réseaux & Systèmes,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Cloud Computing,Je trouve que le niveau est trop bas.,I find that the level is too low.
Réseaux & Systèmes,Manque de contenu actualisé.,Lack of updated content.
Marketing Digital,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
Cybersécurité,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Marketing Digital,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
Cybersécurité,Je trouve que le niveau est trop bas.,I find that the level is too low.
Informatique,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Business Intelligence,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Cloud Computing,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Cloud Computing,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Réseaux & Systèmes,Support pédagogique de qualité.,Quality educational support.
Cybersécurité,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Marketing Digital,"Excellente formation, très claire et bien expliquée.","Excellent training, very clear and well explained."
Cybersécurité,Les sujets traités sont très actuels.,The subjects treated are very current.
Développement Web,Les cours sont mal structurés.,The courses are poorly structured.
Développement Web,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Cybersécurité,Super formation ! Les cas pratiques sont pertinents.,Great training! Practical cases are relevant.
Marketing Digital,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Business Intelligence,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Business Intelligence,Top ! À recommander sans hésitation.,Top! To recommend without hesitation.
Réseaux & Systèmes,Ennuyeux et peu motivant.,Boring and unwanted.
Cloud Computing,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Réseaux & Systèmes,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Data Science,"Excellente formation, très claire et bien expliquée.","Excellent training, very clear and well explained."
Développement Web,Les sujets traités sont très actuels.,The subjects treated are very current.
Business Intelligence,"Formation bien construite, j’ai apprécié le rythme.","Well built training, I appreciated the pace."
Informatique,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Marketing Digital,Pas assez de retours sur les exercices proposés.,Not enough feedback on the exercises offered.
IA & Machine Learning,Super formation ! Les cas pratiques sont pertinents.,Great training! Practical cases are relevant.
Business Intelligence,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Informatique,Pas assez de retours sur les exercices proposés.,Not enough feedback on the exercises offered.
Finance,Ennuyeux et peu motivant.,Boring and unwanted.
Data Science,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Informatique,Support pédagogique de qualité.,Quality educational support.
Finance,Support pédagogique de qualité.,Quality educational support.
Développement Web,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Développement Web,La formation m’a aidé à décrocher un emploi.,The training helped me get a job.
Développement Web,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Business Intelligence,"Très utile pour mon métier actuel, je recommande !","Very useful for my current job, I recommend!"
IA & Machine Learning,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Finance,Manque d'interaction avec les intervenants.,Lack of interaction with the speakers.
Développement Web,Les sujets traités sont très actuels.,The subjects treated are very current.
Data Science,Je trouve que le niveau est trop bas.,I find that the level is too low.
Informatique,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Cloud Computing,Ennuyeux et peu motivant.,Boring and unwanted.
Finance,Manque de contenu actualisé.,Lack of updated content.
Informatique,Un peu déçu par l’organisation des cours.,A little disappointed by the organization of courses.
Marketing Digital,Manque de contenu actualisé.,Lack of updated content.
Marketing Digital,"Formation bien construite, j’ai apprécié le rythme.","Well built training, I appreciated the pace."
Finance,Un peu déçu par l’organisation des cours.,A little disappointed by the organization of courses.
Business Intelligence,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Marketing Digital,Les sujets traités sont très actuels.,The subjects treated are very current.
Développement Web,Formation trop dense en peu de temps.,Too dense training in a short time.
Marketing Digital,Je trouve que le niveau est trop bas.,I find that the level is too low.
Cloud Computing,Formation trop dense en peu de temps.,Too dense training in a short time.
Développement Web,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Marketing Digital,Top ! À recommander sans hésitation.,Top! To recommend without hesitation.
Informatique,Support pédagogique de qualité.,Quality educational support.
Réseaux & Systèmes,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Cybersécurité,Formation trop dense en peu de temps.,Too dense training in a short time.
Réseaux & Systèmes,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Finance,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Cloud Computing,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Développement Web,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
IA & Machine Learning,"Formation bien construite, j’ai apprécié le rythme.","Well built training, I appreciated the pace."
Data Science,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Finance,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Cloud Computing,Super formation ! Les cas pratiques sont pertinents.,Great training! Practical cases are relevant.
Informatique,Support pédagogique de qualité.,Quality educational support.
Finance,Expérience enrichissante et formatrice.,Enriching and trainer experience.
IA & Machine Learning,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
IA & Machine Learning,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Business Intelligence,Rien de nouveau par rapport à mes cours précédents.,Nothing new compared to my previous lessons.
Finance,Les sujets traités sont très actuels.,The subjects treated are very current.
Cloud Computing,Manque de contenu actualisé.,Lack of updated content.
Cloud Computing,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Business Intelligence,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Cybersécurité,"Très utile pour mon métier actuel, je recommande !","Very useful for my current job, I recommend!"
Data Science,Les sujets traités sont très actuels.,The subjects treated are very current.
Marketing Digital,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Marketing Digital,Pas assez de retours sur les exercices proposés.,Not enough feedback on the exercises offered.
Cloud Computing,Les cours sont mal structurés.,The courses are poorly structured.
IA & Machine Learning,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
Business Intelligence,Top ! À recommander sans hésitation.,Top! To recommend without hesitation.
Cloud Computing,Les vidéos sont longues et parfois confuses.,The videos are long and sometimes confused.
IA & Machine Learning,Les sujets traités sont très actuels.,The subjects treated are very current.
Informatique,Un peu déçu par l’organisation des cours.,A little disappointed by the organization of courses.
IA & Machine Learning,Les cours sont mal structurés.,The courses are poorly structured.
Réseaux & Systèmes,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
Cloud Computing,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
Réseaux & Systèmes,Expérience enrichissante et formatrice.,Enriching and trainer experience.
Informatique,"Formation bien construite, j’ai apprécié le rythme.","Well built training, I appreciated the pace."
Développement Web,Les outils utilisés sont obsolètes.,The tools used are obsolete.
Business Intelligence,Les cours sont mal structurés.,The courses are poorly structured.
Business Intelligence,Encadrement très présent et bienveillant.,Very present and benevolent supervision.
Marketing Digital,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
Cloud Computing,Manque d'interaction avec les intervenants.,Lack of interaction with the speakers.
Cloud Computing,"Très bonne expérience, j’ai beaucoup appris.","Very good experience, I learned a lot."
Data Science,Je trouve que le niveau est trop bas.,I find that the level is too low.
Réseaux & Systèmes,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Marketing Digital,Top ! À recommander sans hésitation.,Top! To recommend without hesitation.
Business Intelligence,Les cours sont mal structurés.,The courses are poorly structured.
IA & Machine Learning,"Des modules un peu trop longs, mais globalement bien.","A little too long modules, but overall well."
Informatique,Top ! À recommander sans hésitation.,Top! To recommend without hesitation.
Marketing Digital,Les sujets traités sont très actuels.,The subjects treated are very current.
Informatique,Support pédagogique de qualité.,Quality educational support.
Cloud Computing,Support pédagogique de qualité.,Quality educational support.
Informatique,Trop de redondance avec d'autres cours déjà suivis.,Too much redundancy with other courses already followed.
Cybersécurité,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
Réseaux & Systèmes,Pas assez de retours sur les exercices proposés.,Not enough feedback on the exercises offered.
Cloud Computing,Les enseignants sont compétents et disponibles.,Teachers are competent and available.
Réseaux & Systèmes,Les cours sont mal structurés.,The courses are poorly structured.
IA & Machine Learning,Formation trop dense en peu de temps.,Too dense training in a short time.
Cloud Computing,Bonne alternance entre théorie et pratique.,Good alternation between theory and practice.
Data Science,Support pédagogique de qualité.,Quality educational support.
Data Science,"Pédagogie excellente, support complet.","Excellent pedagogy, full support."
Cybersécurité,Trop de redondance avec d'autres cours déjà suivis.,Too much redundancy with other courses already followed.
Data Science,"Trop de théorie, peu de projets pratiques.","Too much theory, few practical projects."
Cybersécurité,Trop de redondance avec d'autres cours déjà suivis.,Too much redundancy with other courses already followed.
Marketing Digital,Manque de contenu actualisé.,Lack of updated content.
Marketing Digital,Cours intéressants mais manque de mise en pratique.,Interesting lessons but lack of practice.
IA & Machine Learning,"Excellente formation, très claire et bien expliquée.","Excellent training, very clear and well explained."
Marketing Digital,Je me suis senti accompagné du début à la fin.,I felt accompanied from start to finish.
Marketing Digital,Formation trop dense en peu de temps.,Too dense training in a short time.
